Job Title Clean	Job Title Entities	Pros Clean	Pros Entities	Cons Clean	Cons Entities	Cleaned Status	Cleaned Rating	Time	Employment_Type	Role_Type	Duration	Company_Name	combined_text	similarity	x	y	Rating_scaled	Role_Type_contractor	Role_Type_employee	Role_Type_freelancer	Role_Type_internship	Role_Type_temporary	hybrid_similarity	relevance_score	relevant	adjusted_score
senior programmer analyar	{'NER': [], 'ROLES': ['senior programmer', 'senior programmer analyar', 'programmer']}	good environment fresher lot learn	{'NER': [], 'ROLES': ['good']}	office politic present	{'NER': [], 'ROLES': []}	Former Employee, More Than 1 Year	3.0	2021-01-26	Former	employee	1 - 3 year	MicroSoft	senior programmer analyar good environment fresher lot learn office politic present employee	0.27671593	12.121003	44.23121	0.5	0.0	1.0	0.0	0.0	0.0	0.195667712242824	0.0	0	0.49860778
senior eim consultant	{'NER': [('eim', 'ORG')], 'ROLES': ['senior eim consultant', 'consultant']}	work life balance learn opportunity professional talented people drive factor	{'NER': [], 'ROLES': ['professional']}	pay upto market manager centric hardly promotion hike online opportunity	{'NER': [], 'ROLES': ['manager']}	Current Employee, More Than 8 Years	3.0	2023-03-10	Current	employee	default	IBM	senior eim consultant work life balance learn opportunity professional talented people drive factor pay upto market manager centric hardly promotion hike online opportunity employee	0.2940637	41.52093	-7.454493	0.5	0.0	1.0	0.0	0.0	0.0	0.20793440978063618	0.0	0	0.4986035
head datum science	{'NER': [], 'ROLES': ['head', 'head of data science', 'data science']}	interesting work smart colleague good technology	{'NER': [], 'ROLES': ['good', 'technology']}	bureaucracy meeting people underqualified job	{'NER': [], 'ROLES': ['many', 'many', 'jobs']}	Former Employee	3.0	2021-02-01	Former	employee	default	IBM	head datum science interesting work smart colleague good technology bureaucracy meeting people underqualified job employee	0.29404923	-21.188808	17.395378	0.5	0.0	1.0	0.0	0.0	0.0	0.20792418669232338	0.0	0	0.498579
sap mdg consultant	{'NER': [('sap mdg', 'ORG')], 'ROLES': ['sap', 'sap mdg', 'sap mdg consultant', 'consultant']}	lucky good team work life balance respect	{'NER': [], 'ROLES': ['good']}	nontransparent progression process bit lack box	{'NER': [], 'ROLES': ['it']}	Current Employee	4.0	2024-02-21	Current	employee	default	IBM	sap mdg consultant lucky good team work life balance respect nontransparent progression process bit lack box employee	0.29404867	4.088429	-67.085686	0.75	0.0	1.0	0.0	0.0	0.0	0.20792379599972946	0.5	0	0.49857804
sr director marketing	{'NER': [], 'ROLES': ['sr. director', 'sr. director of marketing', 'director', 'director of marketing', 'marketing']}	smart people good culture fantastic benefit	{'NER': [], 'ROLES': ['good', 'good culture']}	constantly manage	{'NER': [], 'ROLES': []}	Current Employee, More Than 10 Years	4.0	2023-04-12	Current	employee	default	Cisco	sr director marketing smart people good culture fantastic benefit constantly manage employee	0.2867244	-7.4825044	-43.722538	0.75	0.0	1.0	0.0	0.0	0.0	0.20274473195050818	0.5	0	0.49856198
talen acquisition partner	{'NER': [], 'ROLES': ['talen acquisition partner', 'acquisition', 'partner']}	think great work cisco	{'NER': [('cisco', 'GPE')], 'ROLES': ['its', 'great']}	love life	{'NER': [], 'ROLES': []}	Former Employee, More Than 3 Years	5.0	2025-06-24	Former	employee	>3 year	Cisco	talen acquisition partner think great work cisco love life employee	0.28671828	-42.43466	16.37863	1.0	0.0	1.0	0.0	0.0	0.0	0.2027404109226908	0.5	0	0.49855134
technical advisory senior analyst	{'NER': [], 'ROLES': ['technical', 'technical advisory', 'technical advisory senior analyst', 'advisory', 'senior analyst', 'analyst']}	good flexible work hard project	{'NER': [], 'ROLES': ['good', 'project']}	depend project	{'NER': [], 'ROLES': ['project']}	Former Employee, More Than 1 Year	3.0	2022-01-27	Former	employee	1 - 3 year	IBM	technical advisory senior analyst good flexible work hard project depend project employee	0.2940308	0.20264894	2.5754924	0.5	0.0	1.0	0.0	0.0	0.0	0.20791114584638568	0.0	0	0.49854773
consultancy	{'NER': [], 'ROLES': ['consultancy']}	good good	{'NER': [], 'ROLES': ['good']}	need improve hard	{'NER': [], 'ROLES': []}	Current Employee, Less Than 1 Year	5.0	2024-08-12	Current	employee	<1 year	MicroSoft	consultancy good good need improve hard employee	0.27667588	52.471565	1.2371433	1.0	0.0	1.0	0.0	0.0	0.0	0.19563938570094477	0.5	0	0.4985356
senior customer support executive	{'NER': [], 'ROLES': ['senior customer support executive', 'customer', 'customer support', 'customer support executive', 'support', 'support executive', 'executive']}	nice facility great infrastructure	{'NER': [], 'ROLES': ['great', 'infrastructure']}		{'NER': [], 'ROLES': []}	Current Employee, Less Than 1 Year	5.0	2021-02-26	Current	employee	<1 year	Google	senior customer support executive nice facility great infrastructure  employee	0.30135426	35.98987	9.86158	1.0	0.0	1.0	0.0	0.0	0.0	0.21308962096618594	0.5	0	0.4985079
technical talent sourcer	{'NER': [], 'ROLES': ['technical', 'technical talent sourcer', 'talent', 'talent sourcer', 'sourcer']}	great time offgreat company culturegreat benefit health care	{'NER': [], 'ROLES': ['great']}	slow career development early career	{'NER': [], 'ROLES': []}	Current Employee, More Than 1 Year	3.0	2021-04-20	Current	employee	1 - 3 year	MicroSoft	technical talent sourcer great time offgreat company culturegreat benefit health care slow career development early career employee	0.27664953	-21.51266	-27.047775	0.5	0.0	1.0	0.0	0.0	0.0	0.19562073643840228	0.0	0	0.49848813
brand specialist	{'NER': [], 'ROLES': ['brand', 'brand specialist', 'specialist']}	pro anymore good people lay leave retire underpaid intern new grad leave rearrange deck chair titanic	{'NER': [], 'ROLES': ['good', 'interns']}	ibm currently purge usa workforce favor india offshore site new policy announce guise return office rto live mile office day week willing separate march keep ibm have announce layoff	{'NER': [('ibm', 'ORG'), ('india', 'GPE'), ('50 miles', 'QUANTITY'), ('one', 'CARDINAL'), ('at least three days', 'DATE'), ('march', 'DATE'), ('ibm', 'ORG')], 'ROLES': ['india', 'policy']}	Former Employee, More Than 8 Years	1.0	2025-01-16	Former	employee	default	IBM	brand specialist pro anymore good people lay leave retire underpaid intern new grad leave rearrange deck chair titanic ibm currently purge usa workforce favor india offshore site new policy announce guise return office rto live mile office day week willing separate march keep ibm have announce layoff employee	0.29398504	-40.8951	-13.231907	0.0	0.0	1.0	0.0	0.0	0.0	0.20787880071550063	0.0	0	0.49847016
software engineer	{'NER': [('se3', 'ORG')], 'ROLES': ['software', 'software engineer', 'software engineer se3', 'engineer']}	nice company work	{'NER': [], 'ROLES': []}	con find	{'NER': [], 'ROLES': []}	Current Employee	5.0	2025-03-22	Current	employee	default	Google	software engineer nice company work con find employee	0.30132896	7.531926	42.478672	1.0	0.0	1.0	0.0	0.0	0.0	0.21307168572642923	0.5	0	0.49846604
personal assistant	{'NER': [], 'ROLES': ['personal assistant', 'assistant']}	good work environment nice colleague	{'NER': [], 'ROLES': ['good']}	overtime work layer transfer slowly burdensome orgnization	{'NER': [], 'ROLES': []}	Current Employee, More Than 5 Years	4.0	2016-07-31	Current	employee	default	IBM	personal assistant good work environment nice colleague overtime work layer transfer slowly burdensome orgnization employee	0.29398227	25.2639	-6.5140276	0.75	0.0	1.0	0.0	0.0	0.0	0.20787687615965264	0.5	0	0.49846545
bi developer solution consultant	{'NER': [], 'ROLES': ['bi', 'bi developer', 'bi developer and solutions consultant', 'developer', 'solutions consultant', 'consultant']}	amazing environment colleague	{'NER': [], 'ROLES': []}	con face work	{'NER': [], 'ROLES': []}	Former Employee, More Than 3 Years	5.0	2019-01-22	Former	employee	>3 year	IBM	bi developer solution consultant amazing environment colleague con face work employee	0.29397058	30.331173	28.803843	1.0	0.0	1.0	0.0	0.0	0.0	0.20786855813837368	0.5	0	0.49844563
cloud architect	{'NER': [], 'ROLES': ['cloud it architect', 'it', 'it architect', 'architect']}	deliver innovative project lot interaction amazing people world fact possible right focus	{'NER': [], 'ROLES': ['projects']}	huge investment work thing work client average age worker ibm high	{'NER': [('ibm', 'ORG')], 'ROLES': []}	Current Employee, More Than 5 Years	5.0	2015-09-03	Current	employee	default	IBM	cloud architect deliver innovative project lot interaction amazing people world fact possible right focus huge investment work thing work client average age worker ibm high employee	0.2939669	-40.899567	30.279358	1.0	0.0	1.0	0.0	0.0	0.0	0.20786597550888192	0.5	0	0.49843937
marketing communication coordinator	{'NER': [], 'ROLES': ['marketing', 'marketing communications', 'marketing communications coordinator', 'communications', 'coordinator']}	inclusive environment feeling hear appreciate input possibility growth access enormous educationplatform learn	{'NER': [], 'ROLES': []}	open seating people rely routine object	{'NER': [], 'ROLES': []}	Current Employee, More Than 1 Year	5.0	2019-11-14	Current	employee	1 - 3 year	IBM	marketing communication coordinator inclusive environment feeling hear appreciate input possibility growth access enormous educationplatform learn open seating people rely routine object employee	0.29396057	1.8614722	-33.43574	1.0	0.0	1.0	0.0	0.0	0.0	0.20786152471394415	0.5	0	0.49842867
analysis	{'NER': [], 'ROLES': ['it', 'it analysis']}	good place work friendly people great team	{'NER': [], 'ROLES': ['good', 'great']}	big company hard know	{'NER': [], 'ROLES': []}	Current Employee, More Than 3 Years	4.0	2021-05-22	Current	employee	>3 year	IBM	analysis good place work friendly people great team big company hard know employee	0.29395986	35.97579	13.907927	0.75	0.0	1.0	0.0	0.0	0.0	0.20786098307813933	0.5	0	0.49842745
digital transformation consultant	{'NER': [], 'ROLES': ['digital transformation consultant', 'consultant']}	great benefit flexible work hour	{'NER': [], 'ROLES': ['great']}	work hour flexible people know rest	{'NER': [('working hours', 'TIME')], 'ROLES': []}	Current Employee, More Than 3 Years	4.0	2024-05-19	Current	employee	>3 year	IBM	digital transformation consultant great benefit flexible work hour work hour flexible people know rest employee	0.29392654	35.27213	-2.453246	0.75	0.0	1.0	0.0	0.0	0.0	0.20783743067302612	0.5	0	0.49837095
client administrative spevialist	{'NER': [], 'ROLES': ['client administrative spevialist', 'administrative']}	great environment work	{'NER': [], 'ROLES': ['great']}	fine	{'NER': [], 'ROLES': ['its']}	Current Employee, More Than 1 Year	5.0	2021-02-15	Current	employee	1 - 3 year	Google	client administrative spevialist great environment work fine employee	0.30125642	20.06601	-14.063876	1.0	0.0	1.0	0.0	0.0	0.0	0.21302043731264553	0.5	0	0.49834603
data ai engineer	{'NER': [], 'ROLES': ['data and ai engineer', 'ai engineer', 'engineer']}	possibility travel need prestige speak event	{'NER': [], 'ROLES': ['events']}	lot routine recent management covid appreciate effort threaten layoff	{'NER': [], 'ROLES': ['management']}	Current Employee	3.0	2024-05-05	Current	employee	default	IBM	data ai engineer possibility travel need prestige speak event lot routine recent management covid appreciate effort threaten layoff employee	0.29390728	-14.913665	23.952547	0.5	0.0	1.0	0.0	0.0	0.0	0.20782381830760166	0.0	0	0.4983383
tester	{'NER': [], 'ROLES': ['tester']}	good start career	{'NER': [], 'ROLES': []}	hard work fun	{'NER': [], 'ROLES': []}	Current Employee	5.0	2023-12-22	Current	employee	default	Google	tester good start career hard work fun employee	0.3012486	-26.11802	48.305702	1.0	0.0	1.0	0.0	0.0	0.0	0.2130149146367188	0.5	0	0.49833313
trade finance officer	{'NER': [], 'ROLES': ['trade finance', 'trade finance officer', 'finance', 'officer']}	great learning environment diverse nature employee learn development	{'NER': [], 'ROLES': ['great', 'learning and development']}	deepstate kind system hire internal promotion lead demoralization hardworking employee	{'NER': [], 'ROLES': []}	Former Employee, More Than 3 Years	4.0	2024-09-24	Former	employee	>3 year	Equity	trade finance officer great learning environment diverse nature employee learn development deepstate kind system hire internal promotion lead demoralization hardworking employee employee	0.25180066	-9.701915	-3.1902604	0.75	0.0	1.0	0.0	0.0	0.0	0.1780499515403728	0.5	0	0.4983145
ssp sale	{'NER': [], 'ROLES': ['ssp', 'ssp-sales', 'sales']}	awesome benefit especially matching healthcare fitness work company well benefit microsoft	{'NER': [('healthcare', 'ORG'), ('microsoft', 'ORG')], 'ROLES': ['awesome', 'healthcare', 'microsoft']}	low ability earn sale cap commission comp plan difficult understand know close deal	{'NER': [], 'ROLES': ['sales']}	Current Employee, More Than 1 Year	3.0	2017-09-25	Current	employee	1 - 3 year	MicroSoft	ssp sale awesome benefit especially matching healthcare fitness work company well benefit microsoft low ability earn sale cap commission comp plan difficult understand know close deal employee	0.27653888	8.438297	-53.471035	0.5	0.0	1.0	0.0	0.0	0.0	0.1955424946596795	0.0	0	0.49828875
security solution architect	{'NER': [], 'ROLES': ['security', 'security solutions architect', 'solutions architect', 'architect']}	lot new solution great customer	{'NER': [], 'ROLES': ['lots', 'great']}	boss food chain	{'NER': [], 'ROLES': ['many']}	Current Employee	5.0	2023-07-12	Current	employee	default	Cisco	security solution architect lot new solution great customer boss food chain employee	0.28656378	5.1727376	17.983793	1.0	0.0	1.0	0.0	0.0	0.0	0.20263117652512375	0.5	0	0.4982827
etl qa analyst	{'NER': [('etl qa', 'ORG')], 'ROLES': ['etl', 'etl qa analyst', 'qa', 'qa analyst', 'analyst']}	facility alongwith freedom work style home facility perfect work life balance	{'NER': [('1best', 'CARDINAL'), ('2work', 'CARDINAL'), ('3', 'CARDINAL')], 'ROLES': []}	promotion tough ctc low compare market	{'NER': [('1', 'CARDINAL'), ('2', 'CARDINAL'), ('ctc', 'ORG')], 'ROLES': []}	Current Employee, More Than 1 Year	4.0	2019-09-18	Current	employee	1 - 3 year	IBM	etl qa analyst facility alongwith freedom work style home facility perfect work life balance promotion tough ctc low compare market employee	0.29387394	-24.497252	12.073048	0.75	0.0	1.0	0.0	0.0	0.0	0.20780022662458172	1.5	1	0.49828178
sr csa	{'NER': [('sr', 'ORG'), ('csa', 'GPE')], 'ROLES': ['sr. csa', 'csa']}	good work culturework life balance late ai technology	{'NER': [], 'ROLES': ['good', 'technology']}	career progression challengingcompensation compete faang	{'NER': [], 'ROLES': []}	Current Employee, More Than 1 Year	4.0	2024-06-12	Current	employee	1 - 3 year	MicroSoft	sr csa good work culturework life balance late ai technology career progression challengingcompensation compete faang employee	0.27652	0.6504533	52.534668	0.75	0.0	1.0	0.0	0.0	0.0	0.1955291638180394	0.5	0	0.49825475
tech sale consultant	{'NER': [], 'ROLES': ['tech', 'tech sales', 'tech sales consultant', 'sales', 'sales consultant', 'consultant']}	good people work	{'NER': [], 'ROLES': ['good']}	sale model corporate politic sell software	{'NER': [], 'ROLES': ['sales', 'model', 'software']}	Former Employee	3.0	2023-08-14	Former	employee	default	IBM	tech sale consultant good people work sale model corporate politic sell software employee	0.29384637	4.213334	-43.718533	0.5	0.0	1.0	0.0	0.0	0.0	0.20778077498972633	0.0	0	0.49823502
internal communication specialist	{'NER': [], 'ROLES': ['internal communications', 'internal communications specialist', 'communications', 'communications specialist', 'specialist']}	ok great company recommend	{'NER': [], 'ROLES': ['it', 'great', 'great company']}	great con	{'NER': [], 'ROLES': ['great']}	Former Employee	4.0	2023-01-04	Former	employee	default	MicroSoft	internal communication specialist ok great company recommend great con employee	0.2765056	27.510887	14.674957	0.75	0.0	1.0	0.0	0.0	0.0	0.1955189733640359	0.5	0	0.49822876
sender city general staff	{'NER': [], 'ROLES': ['sender city general staff', 'general']}	love life good friend life	{'NER': [], 'ROLES': ['good']}	good working create life	{'NER': [], 'ROLES': ['good']}	Current Employee, Less Than 1 Year	5.0	2020-09-09	Current	employee	<1 year	Google	sender city general staff love life good friend life good working create life employee	0.30116028	19.716621	-17.292292	1.0	0.0	1.0	0.0	0.0	0.0	0.21295245332971618	0.5	0	0.498187
cloud technical sale	{'NER': [], 'ROLES': ['cloud technical sales', 'technical', 'technical sales', 'sales']}	ibm manager people car employee ibm great benefit great place learn big company work technical sale person training sure need job payment good	{'NER': [('ibm', 'ORG'), ('ibm', 'ORG')], 'ROLES': ['great', 'it', 'great', 'technical', 'technical sales', 'sales', 'sales person', 'training', 'good']}	management ibm old people believe ibm good realize product good target sale fault old product sell ibm change innovate fast aws microsoft google cloud business pretty tough provide innovative new idea position ibm product able look well competition	{'NER': [('ibm', 'ORG'), ('ibm', 'ORG'), ('ibm', 'ORG'), ('aws', 'ORG'), ('microsoft', 'ORG'), ('google', 'ORG'), ('ibm', 'ORG')], 'ROLES': ['management', 'sales', 'product', 'it', 'aws', 'microsoft']}	Current Employee, More Than 5 Years	4.0	2019-05-27	Current	employee	default	IBM	cloud technical sale ibm manager people car employee ibm great benefit great place learn big company work technical sale person training sure need job payment good management ibm old people believe ibm good realize product good target sale fault old product sell ibm change innovate fast aws microsoft google cloud business pretty tough provide innovative new idea position ibm product able look well competition employee	0.29381222	-50.47061	-17.948563	0.75	0.0	1.0	0.0	0.0	0.0	0.20775661067545317	1.5	1	0.4981771
account payable	{'NER': [], 'ROLES': ['p2p accounts payable', 'accounts payable']}	great place work ibm	{'NER': [('ibm', 'ORG')], 'ROLES': ['great']}	downside ibm work place	{'NER': [('ibm', 'ORG')], 'ROLES': []}	Former Employee, More Than 3 Years	5.0	2019-12-16	Former	employee	>3 year	IBM	account payable great place work ibm downside ibm work place employee	0.29379994	-41.260185	-38.568653	1.0	0.0	1.0	0.0	0.0	0.0	0.2077479011262911	0.5	0	0.4981563
software engineer machine learning	{'NER': [], 'ROLES': ['software', 'software engineer', 'software engineer (machine learning)', 'engineer', 'machine learning']}	excellent peer group great career opportunity little bureaucracy market perk	{'NER': [], 'ROLES': ['great']}	distrust upper management employee drain appraisal process day day work feel like cog wheel	{'NER': [('day to day', 'DATE')], 'ROLES': ['management']}	Current Employee, More Than 1 Year	5.0	2021-02-03	Current	employee	1 - 3 year	Google	software engineer machine learning excellent peer group great career opportunity little bureaucracy market perk distrust upper management employee drain appraisal process day day work feel like cog wheel employee	0.30113053	1.4185444	39.146923	1.0	0.0	1.0	0.0	0.0	0.0	0.2129314301988635	0.5	0	0.4981378
software engineer swe	{'NER': [('4', 'CARDINAL')], 'ROLES': ['software', 'software engineer', 'software engineer swe', 'software engineer swe 4', 'engineer', 'swe']}	team competent manager like go office go love	{'NER': [], 'ROLES': ['manager', 'it']}	meat grinder promotion hard work directly ai team people burn bide time	{'NER': [], 'ROLES': ['it']}	Current Employee, More Than 5 Years	3.0	2025-05-14	Current	employee	default	Google	software engineer swe team competent manager like go office go love meat grinder promotion hard work directly ai team people burn bide time employee	0.30110627	0.84018624	39.231552	0.5	0.0	1.0	0.0	0.0	0.0	0.21291428151790184	0.0	0	0.49809766
senior sae	{'NER': [], 'ROLES': ['senior sae']}	great company love work	{'NER': [], 'ROLES': ['great', 'great company']}	great pleasure	{'NER': [], 'ROLES': ['it', 'great']}	Former Employee	5.0	2025-05-02	Former	employee	default	Google	senior sae great company love work great pleasure employee	0.3010847	39.68064	16.893774	1.0	0.0	1.0	0.0	0.0	0.0	0.2128990263936998	0.5	0	0.49806198
team leam	{'NER': [('team leam', 'ORG')], 'ROLES': ['team leam']}	good salesforce project good quality work lucky chance work expert cta good worklife balance good policy work home	{'NER': [('1', 'CARDINAL'), ('2', 'CARDINAL'), ('3', 'CARDINAL')], 'ROLES': ['good', 'projects', 'good', 'quality', 'good', 'good', 'policy']}	hr manager hand proper visibility work slightly difficult grow overtime	{'NER': [('1', 'CARDINAL'), ('2', 'CARDINAL'), ('3', 'CARDINAL')], 'ROLES': ['hr', 'manager', 'it']}	Current Employee, More Than 3 Years	4.0	2024-06-02	Current	employee	>3 year	IBM	team leam good salesforce project good quality work lucky chance work expert cta good worklife balance good policy work home hr manager hand proper visibility work slightly difficult grow overtime employee	0.29373145	-4.528285	-7.9499674	0.75	0.0	1.0	0.0	0.0	0.0	0.20769947419014	1.5	1	0.49804017
professional staffing specialist	{'NER': [], 'ROLES': ['professional', 'professional staffing specialist', 'staffing', 'staffing specialist', 'specialist']}	work life balance good	{'NER': [], 'ROLES': ['good']}	poor pay master exist employee	{'NER': [], 'ROLES': []}	Former Employee, More Than 10 Years	4.0	2020-09-18	Former	employee	default	IBM	professional staffing specialist work life balance good poor pay master exist employee employee	0.29371914	36.512276	-15.234463	0.75	0.0	1.0	0.0	0.0	0.0	0.20769078347532816	0.5	0	0.4980193
data anaylst	{'NER': [], 'ROLES': ['data anaylst']}	good pay good reputation great service	{'NER': [], 'ROLES': ['good', 'good', 'great', 'service']}	culture tiring good	{'NER': [], 'ROLES': ['good']}	Current Employee	5.0	2024-09-10	Current	employee	default	Google	data anaylst good pay good reputation great service culture tiring good employee	0.3010161	-1.3580501	12.112697	1.0	0.0	1.0	0.0	0.0	0.0	0.21285052119168812	1.5	1	0.4979485
graduate hire	{'NER': [], 'ROLES': ['graduate hire']}	bonus incentive culture senior junior equal ibm becz ibmer	{'NER': [('ibm', 'ORG')], 'ROLES': ['incentives']}	implement cab service good	{'NER': [], 'ROLES': ['service', 'good']}	Current Employee, Less Than 1 Year	5.0	2022-11-28	Current	employee	<1 year	IBM	graduate hire bonus incentive culture senior junior equal ibm becz ibmer implement cab service good employee	0.29366904	44.720955	-24.153734	1.0	0.0	1.0	0.0	0.0	0.0	0.2076553649189785	0.5	0	0.49793437
assistant system engineer	{'NER': [], 'ROLES': ['assistant', 'assistant systems engineer', 'systems', 'systems engineer', 'engineer']}	hybrid work life balance learn opportunity	{'NER': [], 'ROLES': []}	con face till date	{'NER': [], 'ROLES': []}	Current Employee, Less Than 1 Year	5.0	2024-09-27	Current	employee	<1 year	IBM	assistant system engineer hybrid work life balance learn opportunity con face till date employee	0.29366693	-11.136011	40.818954	1.0	0.0	1.0	0.0	0.0	0.0	0.20765386355403975	1.5	1	0.49793077
client support manager	{'NER': [], 'ROLES': ['client support', 'client support manager', 'support', 'support manager', 'manager']}	great flexibility great people work	{'NER': [], 'ROLES': ['great', 'great']}	great salary take long time ladder	{'NER': [], 'ROLES': ['great']}	Current Employee	4.0	2021-02-23	Current	employee	default	IBM	client support manager great flexibility great people work great salary take long time ladder employee	0.29365999	28.468641	-30.758858	0.75	0.0	1.0	0.0	0.0	0.0	0.20764894100482184	0.5	0	0.497919
sr manager technical service	{'NER': [], 'ROLES': ['sr. manager', 'sr. manager technical services', 'manager', 'technical', 'technical services', 'services']}	incredible benefit competitive salary lot growth opportunity exposure new technology role occasionally	{'NER': [], 'ROLES': ['lots', 'technology']}	annual layoff poor manager huge disconnect senior leadership frontline worker huge divide line business	{'NER': [('annual', 'DATE')], 'ROLES': ['many', 'leadership']}	Former Employee, More Than 10 Years	4.0	2024-01-30	Former	employee	default	Cisco	sr manager technical service incredible benefit competitive salary lot growth opportunity exposure new technology role occasionally annual layoff poor manager huge disconnect senior leadership frontline worker huge divide line business employee	0.28635335	-7.4274573	-17.819092	0.75	0.0	1.0	0.0	0.0	0.0	0.20248236232791295	1.5	1	0.4979168
senior client executive	{'NER': [], 'ROLES': ['senior client executive', 'client executive', 'executive']}	nice people team nice client	{'NER': [], 'ROLES': []}	highly political management inexperienced role operate constant fear roll worker aggressively software audit drive destroy innocent client relationship sadly decision finance control client relationship understand support sale technical team support client management finance drive expensive experienced people replace affordable inexperienced people include zero experience computer science degree white collar experience technology company ibm overpay redhat cut safe deep cut product support product development relationship technical expertise lack resource right thing client sale person care relationship spend month client product escalation lack people skill join product support escalation job employer treat client need heal relationship help available sad recommend	{'NER': [('zero', 'CARDINAL'), ('ibm', 'ORG'), ('38b', 'MONEY'), ('months', 'DATE')], 'ROLES': ['management', 'many', 'software', 'finance', 'support', 'sales', 'technical', 'support', 'management', 'finance', 'it', 'technology', 'product', 'product support', 'support', 'product', 'product development', 'technical', 'sales', 'sales person', 'product', 'product', 'product support', 'support', 'its', 'it']}	Former Employee, More Than 5 Years	1.0	2023-01-18	Former	employee	default	IBM	senior client executive nice people team nice client highly political management inexperienced role operate constant fear roll worker aggressively software audit drive destroy innocent client relationship sadly decision finance control client relationship understand support sale technical team support client management finance drive expensive experienced people replace affordable inexperienced people include zero experience computer science degree white collar experience technology company ibm overpay redhat cut safe deep cut product support product development relationship technical expertise lack resource right thing client sale person care relationship spend month client product escalation lack people skill join product support escalation job employer treat client need heal relationship help available sad recommend employee	0.29364607	-15.120006	-6.8038125	0.0	0.0	1.0	0.0	0.0	0.0	0.20763914997259575	0.0	0	0.4978954
software developer engineer	{'NER': [], 'ROLES': ['software', 'software developer', 'software developer engineer', 'developer', 'engineer']}	great work learn new thing everyday business benefit great health benefit good couple year ago pay co ms provide health saving plan year refill credit card	{'NER': [('each year', 'DATE')], 'ROLES': ['it', 'great', 'great', 'credit']}	bore thing hard climb right manager easy tricky	{'NER': [], 'ROLES': ['it', 'manager', 'its']}	Current Employee, More Than 8 Years	4.0	2015-10-19	Current	employee	default	MicroSoft	software developer engineer great work learn new thing everyday business benefit great health benefit good couple year ago pay co ms provide health saving plan year refill credit card bore thing hard climb right manager easy tricky employee	0.27631313	-36.146206	4.299273	0.75	0.0	1.0	0.0	0.0	0.0	0.19538284669039457	1.5	1	0.49788195
sous chef	{'NER': [('sous chef', 'ORG')], 'ROLES': ['sous chef', 'chef']}	mondayfriday work week pay holiday vacation	{'NER': [('mondayfriday work week', 'DATE')], 'ROLES': []}	pay raise minimum opportunity growth take wayyy long stick station position year short staff	{'NER': [('2 years', 'DATE')], 'ROLES': ['it']}	Current Employee, More Than 3 Years	3.0	2019-09-26	Current	employee	>3 year	MicroSoft	sous chef mondayfriday work week pay holiday vacation pay raise minimum opportunity growth take wayyy long stick station position year short staff employee	0.27630323	-7.9916472	67.026024	0.5	0.0	1.0	0.0	0.0	0.0	0.19537588494496022	1.0	0	0.49786413
bde business development executive	{'NER': [('bde - business development', 'ORG')], 'ROLES': ['bde', 'bde - business development executive', 'business development', 'business development executive', 'executive']}	people training opportunity remote work	{'NER': [], 'ROLES': ['training']}	churn bonus structure favor upper management	{'NER': [], 'ROLES': ['management']}	Current Employee	2.0	2023-05-01	Current	employee	default	IBM	bde business development executive people training opportunity remote work churn bonus structure favor upper management employee	0.29362422	45.02587	-25.241922	0.25	0.0	1.0	0.0	0.0	0.0	0.20762366534744942	1.0	0	0.49785838
business consiltant	{'NER': [], 'ROLES': ['business consiltant']}	rich learning resource diverse reachable industry	{'NER': [], 'ROLES': []}	long work time insufficient workspace decoration	{'NER': [], 'ROLES': []}	Current Employee	4.0	2023-06-26	Current	employee	default	IBM	business consiltant rich learning resource diverse reachable industry long work time insufficient workspace decoration employee	0.29361582	29.648352	31.127499	0.75	0.0	1.0	0.0	0.0	0.0	0.20761772083701371	0.5	0	0.49784413
consultant cbd	{'NER': [], 'ROLES': ['consultant', 'consultant cbd', 'cbd']}	new lot training learning travel good benefit meet lot nice people	{'NER': [], 'ROLES': ['am', 'training', 'good']}	new complain company training overwhelming fun	{'NER': [], 'ROLES': ['am', 'training', 'it']}	Current Employee, Less Than 1 Year	5.0	2018-02-27	Current	employee	<1 year	IBM	consultant cbd new lot training learning travel good benefit meet lot nice people new complain company training overwhelming fun employee	0.29360917	53.322765	-4.751755	1.0	0.0	1.0	0.0	0.0	0.0	0.20761302412175753	0.5	0	0.49783283
network services specialist	{'NER': [], 'ROLES': ['network', 'network services specialist', 'services', 'services specialist', 'specialist']}	work environment cool relaxed lenient ethic	{'NER': [], 'ROLES': []}	pay industry standard equal	{'NER': [], 'ROLES': []}	Former Employee, Less Than 1 Year	5.0	2022-12-27	Former	employee	<1 year	IBM	network services specialist work environment cool relaxed lenient ethic pay industry standard equal employee	0.29360074	2.954998	26.780748	1.0	0.0	1.0	0.0	0.0	0.0	0.2076070304010434	0.5	0	0.49781856
consultant sap pp	{'NER': [], 'ROLES': ['consultant', 'consultant-sap pp', 'sap']}	world large technology team technology market opportunity high pay salary range market ahead curve world lead training flexibility business project fly	{'NER': [], 'ROLES': ['technology', 'technology', 'several', 'training', 'project']}	ready calculate risk	{'NER': [], 'ROLES': []}	Current Employee, More Than 5 Years	5.0	2023-10-18	Current	employee	default	IBM	consultant sap pp world large technology team technology market opportunity high pay salary range market ahead curve world lead training flexibility business project fly ready calculate risk employee	0.29355362	2.23174	-66.288925	1.0	0.0	1.0	0.0	0.0	0.0	0.20757373879504434	1.5	1	0.49773866
